SD_Sub_System,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,PL_Punch_Category,PL_Punch_Description,PL_No
5000-01,PI,5000-01-PMC-25-592,PI_TP,C,N|B|G BETWEEN J:3|4 SHALL BE INSTALL AFTER OPPOSITE LINE COMPELETE,PL-01913
5000-01,PI,5000-01-PMC-26-597,PI_TP,C,G7(GASKET FLAT RING) SHALL BE INSTALLED AFTER,PL-01024
5000-01,PI,5000-01-PMC-26-597,PI_TP,C,INSLATION KIT SHOULD BE INSTALLED BEFORE PRECOM,PL-00252
5000-01,PI,5000-01-PMC-30-388,PI_TP,C,"THE INSULATION KIT 4""-150# MUST BE INSTALL BEFORE THE PRECOMM",PL-01745
5000-01,PI,5000-01-PMC-30-388,PI_TP,C,STUD BOLT 5/*95 SHALL E INSTALL BEFORE PRECOMM,PL-01746
5000-01,PI,5000-01-PMC-30-388,PI_TP,C,INSULATION KIT SHALL BE INSTALL,PL-01747
5000-01,PI,5000-01-PMC-31-595,PI_TP,C,"The Insulation Kit 4""-150# Should be Installed Before The Precom",PL-01358
5000-01,PI,5000-01-PMC-32-626,PI_TP,C,"INSULATION KIT 4""-CL150# RF ITEM SHOULD BE INSTALLED BEFORE THE PRECOMM",PL-01314
5000-01,PI,5000-01-PMC-33-767,PI_TP,C,ALL VALVES SHALL BE LUBRICATE,PL-02361
5000-01,PI,5000-01-PMC-33-767,PI_TP,C,THE TEMPORARY GASKET USED FOR FLANGE CONNECTION J:36 MUST BE REPLACED WITH ORIGINAL GASKET,PL-02362
5000-01,PI,5000-01-PMC-33-767,PI_TP,C,ALL TEMPORARY GASKET USED FOR FLANGE CONNECTION J:1 & J:17 MUST BE REPLACED WITH THE ORIGINAL GASKET,PL-02363
5000-01,PI,5000-01-PMP-01-206,PI_TP,C,(PG 3211) AND (AP 3212) SHALL BE INSTALLED AFTER REINSTATMENT,PL-01192
5000-01,PI,5000-01-PMP-01-206,PI_TP,C,INSULATION KIT SHOULD BE INSTALLED BEFORE COMM,PL-01193
5000-01,PI,5000-01-PMP-03-960,PI_TP,C,ALL VALVE SHALL BE LUBRICATE,PL-02303
5000-01,PI,5000-01-PMV-02-124,PI_TP,C,ALL INSTRUMENT DEVICE (PT: 5051 | PT: 5091 | TI: 5059) SHOULD BE INSTALLED BEFORE PRECOMM,PL-01292
5000-01,PI,5000-01-PMV-03-235,PI_TP,C,FA3001 SHOULD BE INSTALLED BEFORE COM,PL-01191
